DensE1,LongE1,LatE1
999.1557084,-74.10862657,4.490120706
443.0468369,-74.08970402,4.475471382
776.6860958,-74.0983543,4.484695189
683.3526653,-74.13241339,4.473841658
547.2765148,-74.14863267,4.479266143
588.5297685,-74.14052314,4.478181711
924.3675042,-74.11943931,4.490120165
439.2293417,-74.13781818,4.455935817
506.2901801,-74.13079061,4.461362245
427.3359991,-74.09889454,4.471130463
435.5676608,-74.14160289,4.460818792
453.698945,-74.10646304,4.465161729
618.9473202,-74.11511286,4.463533571
479.6001146,-74.13781964,4.473841233
1029.263392,-74.11998311,4.544378907
678.3720714,-74.13241343,4.474384247
405.1760538,-74.09294771,4.47221579
634.5991073,-74.11403224,4.47601316
455.6010543,-74.13349345,4.458106513
539.0211373,-74.15674491,4.50530952
1014.997209,-74.10592416,4.510196576
965.3296207,-74.10754509,4.485237457
545.3938096,-74.14322691,4.485235117
590.2857563,-74.14593008,4.485234869
634.184084,-74.15890492,4.48197801
607.8525013,-74.1124099,4.466246647
445.775932,-74.09727291,4.479811924
398.0678907,-74.09348825,4.468417658
848.2013259,-74.11187014,4.484694678
408.2813009,-74.09240711,4.473300978
851.5933382,-74.1167352,4.47275749
652.0596481,-74.13403502,4.470586005
884.321183,-74.12538632,4.490119799
632.3896584,-74.11403221,4.475470572
443.2265199,-74.1437653,4.460276012
414.8234545,-74.09781325,4.469502728
462.194976,-74.15295681,4.4705843
460.0054961,-74.12700598,4.456479213
471.9865526,-74.10754438,4.467874628
440.2583544,-74.14268383,4.457563167
400.1068977,-74.08646019,4.470045543
459.9077509,-74.1443069,4.471127729
403.3851427,-74.09024459,4.472215842
625.1022944,-74.15944567,4.483063126
453.4848725,-74.10592238,4.464076573
610.0998816,-74.15295764,4.478723121
567.527355,-74.15079746,4.502054618
756.3784489,-74.09997619,4.484152553
488.39348,-74.08916351,4.483067629
478.2970397,-74.12484363,4.458107122
919.7761314,-74.08700149,4.522676591
459.5449269,-74.10159759,4.468960025
764.5612707,-74.12484597,4.494460538
976.9583993,-74.11511383,4.482524165
913.8278137,-74.1275471,4.464075416
398.6531969,-74.09727276,4.47438604
593.6574535,-74.14214536,4.481979686
604.6394905,-74.11024759,4.470044866
659.1519337,-74.12322206,4.462447933
448.0208794,-74.13673722,4.459191436
502.6506034,-74.09078546,4.485780543
455.7535649,-74.13619686,4.46244701
921.9695853,-74.09673281,4.500430292
461.0707048,-74.09997581,4.471673019
467.4818155,-74.13619699,4.464074775
610.6586657,-74.13295345,4.466245381
407.3674488,-74.0988944,4.466247166
547.775901,-74.15998582,4.478722362
416.7555824,-74.14322498,4.463531591
456.8247988,-74.13241218,4.457564006
464.7413785,-74.10430068,4.468417342
692.4715237,-74.12862958,4.481980756
981.0748288,-74.11565443,4.481981549
438.2969945,-74.13619643,4.457021125
963.2769594,-74.09673307,4.510196877
433.4184736,-74.09024464,4.475471373
447.0205806,-74.10267865,4.463534103
430.9736003,-74.13673696,4.455935905
942.6889489,-74.12376479,4.496088372
716.0861964,-74.13025027,4.465160404
466.2415404,-74.14214445,4.471670511
514.8668861,-74.12808943,4.48903444
381.2623246,-74.09078512,4.467332535
458.9544062,-74.13187157,4.457564047
594.9252867,-74.11132866,4.466246698
633.4172014,-74.1140321,4.473300218
446.1901758,-74.10051629,4.467332294
632.9547088,-74.15890624,4.493914941
596.0292481,-74.15241868,4.495000813
968.209971,-74.12484502,4.479810658
1060.394588,-74.1243047,4.484693987
593.7360894,-74.14376701,4.4792666
459.8459935,-74.12916839,4.455936476
